#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-1,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,J-49-031,ISDB-T,50,1,689142,,,,,,,,,0x5408,0x0150,0x0200,mpeg2,0x0300,aac,29.97
,INZ,J-49-032,ISDB-T,50,2,689142,,,,,,,,,0x5409,0x0150,0x0201,mpeg2,0x0301,aac,29.97
,INZ,J-49-033,ISDB-T,50,3,689142,,,,,,,,,0x540A,0x0150,0x0201,mpeg2,0x0301,aac,29.97
,INZ,FSJ-49-033,ISDB-T,50,4,689142,,,,,,,,,,0x0150,0x0202,mpeg2,0x0302,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-30,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-30-30.3,ATSC,30,3,569142,8VSB,,,,,,,,0x0003,0x0031,0x0031,mpeg2,0x0034,ac3,29.97
,INZ,FSUS-30.3,ATSC,30,3,569000,8VSB,,,,,,,,,0x0031,0x0031,mpeg2,0x0034,ac3,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-61,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-61-35.1,ATSC,61,1,755142,8VSB,,,,,,,,0x0001,0x0011,0x0011,mpeg2,0x0014,ac3,29.97
,INZ,US-61-35.2,ATSC,61,2,755142,8VSB,,,,,,,,0x0002,0x0021,0x0021,mpeg2,0x0024,ac3,29.97
,INZ,US-61-35.3,ATSC,61,3,755142,8VSB,,,,,,,,0x0003,0x0031,0x0031,mpeg2,0x0034,ac3,29.97
,INZ,FSUS-35.1,ATSC,61,1,755000,8VSB,,,,,,,,,0x0011,0x0011,mpeg2,0x0014,ac3,29.97
,INZ,FSUS-35.2,ATSC,61,2,755000,8VSB,,,,,,,,,0x0021,0x0021,mpeg2,0x0024,ac3,29.97
,INZ,FSUS-35.3,ATSC,61,3,755000,8VSB,,,,,,,,,0x0131,0x0031,mpeg2,0x0034,ac3,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-66C,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,FSUS-999.1,ATSC,66,1,477000,256qam,,,,,,,,0x0001,0x0011,0x0011,mpeg2,0x0014,mpeg-audio,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-68C,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,FSUS-68.1,ATSC,68,1,489000,256qam,,,,,,,,0x0001,0x0011,0x0011,mpeg2,0x0014,ac3,29.97
,INZ,FSUS-68.2,ATSC,68,2,489000,256qam,,,,,,,,0x0002,0x0021,0x0021,mpeg2,0x0024,ac3,29.97
,INZ,FSUS-68.7,ATSC,68,7,489000,256qam,,,,,,,,0x0007,0x0071,0x0071,mpeg2,0x0074,ac3,29.97
,INZ,FSUS-68.8,ATSC,68,8,489000,256qam,,,,,,,,0x0008,0x0081,0x0081,mpeg2,0x0084,ac3,29.97
,INZ,FSUS-68.15,ATSC,68,15,489000,256qam,,,,,,,,0x000F,0x00f1,0x00f1,mpeg2,0x00f4,ac3,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,E-52,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,E-52-800,DVB-T,800,,722000,8,,,,,,on,,0x1451,0x0065,0x0065,mpeg2,0x0066,mpeg-audio,25
,INZ,E-52-801,DVB-T,801,,722000,8,,,,,,on,,0x1452,0x00C9,0x00C9,avc,0x00CA,mpeg-audio,25
,INZ,E-52-802,DVB-T,802,,722000,8,,,,,,on,,0x1453,0x012D,0x012D,avc,0x012E,mpeg-audio,25
,INZ,E-52-803,DVB-T,803,,722000,8,,,,,,on,,0x1454,0x0191,0x0191,avc,0x0192,mpeg-audio,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,E-68,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,E-68-005,DVB-T,5,,850000,8,,,,,,on,,0x3242,0x1781,0x1781,mpeg2,0x1782,mpeg-audio,25
,INZ,E-68-015,DVB-T,15,,850000,8,,,,,,on,,0x3780,0x18F1,0x18F1,mpeg2,0x18F2,mpeg-audio,25
,INZ,E-68-016,DVB-T,16,,850000,8,,,,,,on,,0x3340,0x17A1,0x17A1,mpeg2,0x17A2,mpeg-audio,25
#,INZ,17,DVB-T,17,,850000,8,,,,,,on,,0x3CC0,0x1961,,,,,25
,INZ,E-68-023,DVB-T,23,,850000,8,,,,,,on,,0x37C0,0x1881,0x1881,mpeg2,0x1882,mpeg-audio,25
